Title,Official Name,Date
Press Availability With Polish Foreign Minister Jacek Czaputowicz,Rex W. Tillerson,1/27/18
"Violence in Aden, Yemen",Heather Nauert,1/29/18
Opening of Realigned I-5 South Segment to Mexico,,1/26/18
Russia's Violations of Georgian Sovereignty,Heather Nauert,1/26/18
Aruba Betico Croes Day ,Rex W. Tillerson,1/25/18
"Secretary Tillerson To Travel to Austin, Mexico City, Bariloche, Buenos Aires, Lima, Bogotá, and Kingston",Heather Nauert,1/26/18
Background Briefing with Senior State Department Officials on the Situation in Venezuela,,1/25/18
Remarks With Iraqi Prime Minister Haider al-Abadi Before Their Meeting ,Rex W. Tillerson,1/25/18
"Press Gaggle - January 25, 2018",Heather Nauert,1/25/18
Remarks Before Meeting With Kurdish Prime Minister Nechirvan Barzani,Rex W. Tillerson,1/25/18
Australia National Day,Rex W. Tillerson,1/24/18
Secretary Tillerson's Phone Call With Russian Foreign Minister Sergey Lavrov,,1/24/18
Secretary Tillerson's Phone Call With Egyptian Foreign Minister Sameh Shoukry,,1/24/18
United States Determination of Six Months' Suspension Under Title III of Libertad,,1/24/18
Venezuela's Snap Presidential Elections,Heather Nauert,1/24/18
Background Briefing in Paris,,1/23/18
Democratic Republic of Congo: Government Repression and Violence Against Peaceful Protesters,Heather Nauert,1/23/18
Creation of the Cuba Internet Task Force,,1/23/18
International Partnership Against Impunity for the Use of Chemical Weapons,,1/23/18
State Department Terrorist Designation of Khalid Batarfi,,1/23/18
State Department Terrorist Designations of Siddhartha Dhar and Abdelatif Gaini,,1/23/18
Remarks on Russia's Responsibility for the Ongoing Use of Chemical Weapons in Syria,Rex W. Tillerson,1/23/18
U.S. Congratulates India on Joining the Australia Group,Heather Nauert,1/23/18
"U.S.-Mongolia Annual Bilateral Consultations in Ulaanbaatar, Mongolia",,1/23/18
Remarks With United Kingdom Foreign Secretary Boris Johnson at a Press Availability,Rex W. Tillerson,1/22/18
"Remarks en Route to Paris, France",Rex W. Tillerson,1/22/18
Attack at Kabul Intercontinental Hotel,Rex W. Tillerson,1/21/18
The Situation in Northwest Syria,Heather Nauert,1/21/18
Briefing on Syria,,1/19/18
Joint U.S.-Nordic Workshop on Nuclear Security and Forensics in the Nordic Region,,1/19/18
Previewing the Secretary's Trip to Europe,,1/19/18
The Bureau of Overseas Buildings Operations Announces 2018 Industry Advisory Group Meeting Date,,1/19/18
"U.S.-Canada High-Level Policy Review Group Meets in Washington, D.C.",,1/19/18
Deputy Secretary Travels to New York for UNSC Debate on Afghanistan,,1/18/18
Remarks With Jordanian Foreign Minister Ayman Safadi Before Their Meeting,Rex W. Tillerson,1/18/18
"Secretary Tillerson To Travel to London, Paris, Davos, and Warsaw",Heather Nauert,1/18/18
The United States and Republic of Korea Hold Second Meeting of the Extended Deterrence Strategy and Consultation Group,,1/18/18
Remarks to the Traveling Press,Rex W. Tillerson,1/17/18
"United States Signs New Open Skies Agreement With Respect to Bonaire, St. Eustatius, and Saba",,1/17/18
Principal Deputy Assistant Secretary for South and Central Asian Affairs Alice Wells Travels to India,,1/16/18
Remarks With Canadian Foreign Minister Chrystia Freeland at a Press Availability,Rex W. Tillerson,1/16/18
Remarks on the Way Forward for the United States Regarding Syria,Rex W. Tillerson,1/17/18
Secretary Tillerson To Deliver Remarks to the Hoover Institution and the Freeman Spogli Institute for International Studies,,1/16/18
"Remarks With Canadian Foreign Minister Chrystia Freeland, South Korean Foreign Minister Kang Kyung-wha, Japanese Foreign Minister Taro Kono, and UK Foreign Secretary Boris Johnson at the Vancouver Foreign Ministers' Meeting",Rex W. Tillerson,1/16/18
2018 WiSci Girls STEAM Camp Applications Open,,1/12/18
The United States and Kazakhstan - An Economic Partnership for the 21st Century,,1/16/18
Call for Recommendations: 2018 Secretary of State's Award for Corporate Excellence,,1/12/18
"Acting Assistant Secretary for East Asian and Pacific Affairs Susan Thornton Travels to Canada, Mongolia, China, and Indonesia",,1/12/18
Joint Statement From Proliferation Security Initiative (PSI) Partners in Support of United Nations Security Council Resolutions 2375 and 2397 Enforcement,,1/12/18
On the Sentencing of Afgan Mukhtarli,Heather Nauert,1/12/18
"Remarks at the ""Conversation on the Value of Respect"" Event",Rex W. Tillerson,1/12/18
U.S. Department of State and the East-West Center Convene Young Pacific Leaders in Hawai'i,,1/12/18
Remarks to the 148th Civil Service Orientation Class,Rex W. Tillerson,1/12/18
The Troika on Cessation of Hostilities Violations in South Sudan ,,1/12/18
Secretary Tillerson Travels to Canada,Heather Nauert,1/11/18
Remarks With Norwegian Foreign Minister Ine Marie Eriksen Soreide Before Their Meeting,Rex W. Tillerson,1/11/18
Briefing on the Department of State's New Travel Advisories,,1/10/18
On-the-Record-Briefing,I. Steven (Steve) Goldstein,1/11/18
New Travel Advisories for U.S. Travelers,,1/10/18
Secretary Tillerson's Phone Call With German Foreign Minister Sigmar Gabriel,,1/11/18
Prosecution of Reuters Reporters Wa Lone and Kyaw Soe Oo,Heather Nauert,1/10/18
Under Secretary Shannon Travels to Madrid,,1/10/18
"Press Gaggle - January 9, 2018",I. Steven (Steve) Goldstein,1/9/18
"The Detention of Oyub Titiev of Russian NGO ""Memorial""",Heather Nauert,1/10/18
Talks Between South Korea and North Korea on the Winter Olympics,Heather Nauert,1/9/18
Interview With Elise Labott of CNN,Rex W. Tillerson,1/5/18
Designations Under the International Religious Freedom Act of 1998,Heather Nauert,1/4/18
Interview With Matt Lee and Joshua Lederman of Associated Press,Rex W. Tillerson,1/5/18
On the Continuing Protests in Iran,Heather Nauert,1/4/18
"State Department Terrorist Designations of Muhammad al-Ghazali, Abukar Ali Adan, and Wanas al-Faqih",,1/4/18
Background Briefing with Senior State Department Officials on Security Assistance to Pakistan,,1/4/18
Burmese (Myanmar) National Day,Rex W. Tillerson,1/2/18
"Overseas Schools Advisory Council Meeting, Thursday, January 18, 2018 ",,1/2/18
Department of State Announces Publication of 35th Edition of World Military Expenditures and Arms Transfers,,1/2/18
Sudan National Day,Rex W. Tillerson,1/1/18
Sports Envoy Dean Karnazes Travels to Peru,,1/3/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
State-Defense Cooperation on Global Engagement Center Programs and Creation of the Information Access Fund to Counter State-Sponsored Disinformation,,2/26/18
Information Quality Act,,4/25/17
Cuba,,11/8/17
"Chemical Weapons Attack in Saraqib, Syria",Heather Nauert,2/5/18
On the Chemical Attack in Douma,Heather Nauert,4/7/18
Yemen,,2/2/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Remarks at the Blockchain Forum,John J. Sullivan,10/10/17
"U.S. Department of State Opens Applications for Boldline, an Accelerator Program for Public-Private Partnerships",,10/31/17
2018 P3 Impact Award Applications Are Now Open,,3/1/18
Deputy Secretary of State John J. Sullivan to Deliver Remarks at U.S. Department of State's Forum on Blockchain Technology,,10/6/17
"Department of State, UVA Darden School, and Concordia Announce Sanitation Marketing Systems in Bangladesh as Winner of 2017's P3 Impact Award",,9/19/17
"Department of State, UVA Darden School and Concordia Announce Finalists for 2017 P3 Impact Award",,8/1/17
WiSci Girls STEAM Camp in Malawi Begins July 30,,7/24/17
U.S. Department of State Announces HackerNest as Fishackathon's New Managing Partner,,4/21/17
Department of State and Unreasonable Group Launch Unreasonable Goals,,3/6/17
Department of State Announces Global Partnerships Week 2017,,3/3/17
"UVA Darden School, Concordia and U.S. Department of State Secretary's Office of Global Partnerships Announce Project Nurture as Winner of P3 Impact Award",,9/26/16
2017 P3 Impact Award Applications Are Now Open,,2/9/17
WiSci Girls STEAM Camp in Peru Begins July 23,,7/14/16
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"Department of State, UVA Darden School, and Concordia Announce Finalists for 2016 P3 Impact Award",,7/7/16
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"Briefing on the  Preparations for a Safe and Secure 2018 Olympic and Paralympic Games in PyeongChang, South Korea",I. Steven (Steve) Goldstein,1/31/18
Sudan National Day,Rex W. Tillerson,1/1/18
Section 508 Accessibility Statement,,4/28/17
Central African Republic: Conviction of Andjilo Rodrique Ngaibona,Heather Nauert,1/31/18
Legislation in Poland Regarding Crimes Committed During the Holocaust,Heather Nauert,1/31/18
Publication of Final Rule Changing the Passport Execution Fee,,1/31/18
"State Department Terrorist Designations of Ismail Haniyeh, Harakat al-Sabireen, Liwa al-Thawra, and Harakat Sawa'd Misr (HASM)",,1/31/18
Under Secretary Shannon Travels to Duke University,,1/31/18
Assistant Secretary Christopher A. Ford Travels to Canada,,1/30/18
Background Briefing on the Countering America's Adversaries Through Sanctions Act (CAATSA) Section 231,,1/30/18
Deputy Secretary Sullivan's Meetings in Afghanistan,,1/30/18
Joint Statement of the Inaugural United States-Qatar Strategic Dialogue,,1/30/18
Remarks at the High-Level Opening Session of the Inaugural U.S.-Qatar Strategic Dialogue,Rex W. Tillerson,1/30/18
Understandings With Qatar Seek Level Playing Field,,1/30/18
Ambassador Nathan A. Sales Travels to Tel Aviv and Jerusalem,,1/29/18
Assistant Secretary Carl Risch Travels to Brazil,,1/29/18
"Background Briefing on the Secretary's Travel to Austin, Texas; Mexico City, Mexico; San Carlos Bariloche, Argentina; Buenos Aires, Argentina; Lima, Peru; Bogota, Colombia; and Kingston, Jamaica",,1/29/18
Deputy Secretary John J. Sullivan's Meetings in Iraq,,1/29/18
Attacks in Colombia and Ecuador,Heather Nauert,1/29/18
Nauru National Day,Rex W. Tillerson,1/29/18
Principal Deputy Assistant Secretary Alice Wells Travels to the United Kingdom and Uzbekistan,,1/29/18
Remarks With Danish Foreign Minister Anders Samuelsen Before Their Meeting,Rex W. Tillerson,1/29/18
Special Representative for North Korea Policy Joseph Yun Travels to Tokyo and Seoul,,1/29/18
Under Secretary of State for Public Diplomacy and Public Affairs Steve Goldstein To Present Citizen Diplomacy Award,,1/29/18
Unsafe Russian Military Practices,Heather Nauert,1/29/18
"Violence in Aden, Yemen",Heather Nauert,1/29/18
Deputy Secretary Sullivan Travels to Iraq,,1/27/18
Attack in Kabul ,Rex W. Tillerson,1/27/18
Press Availability With Polish Foreign Minister Jacek Czaputowicz,Rex W. Tillerson,1/27/18
On the Detention of Gui Minhai,Heather Nauert,1/27/18
Remarks at a Wreath Laying Ceremony at the Warsaw Ghetto Heroes Monument,Rex W. Tillerson,1/27/18
"Ambassador Tina Kaidanow, Principal Deputy Assistant Secretary of State for Political-Military Affairs, Travels to Vietnam and Singapore",,1/26/18
Opening of Realigned I-5 South Segment to Mexico,,1/26/18
Russia's Violations of Georgian Sovereignty,Heather Nauert,1/26/18
"Secretary Tillerson To Travel to Austin, Mexico City, Bariloche, Buenos Aires, Lima, Bogotá, and Kingston",Heather Nauert,1/26/18
Aruba Betico Croes Day ,Rex W. Tillerson,1/25/18
"Press Gaggle - January 25, 2018",Heather Nauert,1/25/18
Remarks Before Meeting With Kurdish Prime Minister Nechirvan Barzani,Rex W. Tillerson,1/25/18
Background Briefing with Senior State Department Officials on the Situation in Venezuela,,1/25/18
Remarks With Iraqi Prime Minister Haider al-Abadi Before Their Meeting ,Rex W. Tillerson,1/25/18
Secretary Tillerson's Phone Call With Russian Foreign Minister Sergey Lavrov,,1/24/18
Secretary Tillerson's Phone Call With Egyptian Foreign Minister Sameh Shoukry,,1/24/18
Australia National Day,Rex W. Tillerson,1/24/18
United States Determination of Six Months' Suspension Under Title III of Libertad,,1/24/18
Venezuela's Snap Presidential Elections,Heather Nauert,1/24/18
Background Briefing in Paris,,1/23/18
Democratic Republic of Congo: Government Repression and Violence Against Peaceful Protesters,Heather Nauert,1/23/18
Creation of the Cuba Internet Task Force,,1/23/18
International Partnership Against Impunity for the Use of Chemical Weapons,,1/23/18
Remarks on Russia's Responsibility for the Ongoing Use of Chemical Weapons in Syria,Rex W. Tillerson,1/23/18
State Department Terrorist Designation of Khalid Batarfi,,1/23/18
State Department Terrorist Designations of Siddhartha Dhar and Abdelatif Gaini,,1/23/18
U.S. Congratulates India on Joining the Australia Group,Heather Nauert,1/23/18
"U.S.-Mongolia Annual Bilateral Consultations in Ulaanbaatar, Mongolia",,1/23/18
Remarks With United Kingdom Foreign Secretary Boris Johnson at a Press Availability,Rex W. Tillerson,1/22/18
"Remarks en Route to Paris, France",Rex W. Tillerson,1/22/18
Department of State Announces Publication of 35th Edition of World Military Expenditures and Arms Transfers,,1/2/18
"Overseas Schools Advisory Council Meeting, Thursday, January 18, 2018 ",,1/2/18
Section 508 Accessibility Statement,,4/28/17
Attack at Kabul Intercontinental Hotel,Rex W. Tillerson,1/21/18
The Situation in Northwest Syria,Heather Nauert,1/21/18
Briefing on Syria,,1/19/18
Joint U.S.-Nordic Workshop on Nuclear Security and Forensics in the Nordic Region,,1/19/18
The Bureau of Overseas Buildings Operations Announces 2018 Industry Advisory Group Meeting Date,,1/19/18
Previewing the Secretary's Trip to Europe,,1/19/18
"U.S.-Canada High-Level Policy Review Group Meets in Washington, D.C.",,1/19/18
Deputy Secretary Travels to New York for UNSC Debate on Afghanistan,,1/18/18
"Secretary Tillerson To Travel to London, Paris, Davos, and Warsaw",Heather Nauert,1/18/18
The United States and Republic of Korea Hold Second Meeting of the Extended Deterrence Strategy and Consultation Group,,1/18/18
Remarks With Jordanian Foreign Minister Ayman Safadi Before Their Meeting,Rex W. Tillerson,1/18/18
Remarks to the Traveling Press,Rex W. Tillerson,1/17/18
"United States Signs New Open Skies Agreement With Respect to Bonaire, St. Eustatius, and Saba",,1/17/18
Principal Deputy Assistant Secretary for South and Central Asian Affairs Alice Wells Travels to India,,1/16/18
Remarks on the Way Forward for the United States Regarding Syria,Rex W. Tillerson,1/17/18
Secretary Tillerson To Deliver Remarks to the Hoover Institution and the Freeman Spogli Institute for International Studies,,1/16/18
Remarks With Canadian Foreign Minister Chrystia Freeland at a Press Availability,Rex W. Tillerson,1/16/18
2018 WiSci Girls STEAM Camp Applications Open,,1/12/18
"Remarks With Canadian Foreign Minister Chrystia Freeland, South Korean Foreign Minister Kang Kyung-wha, Japanese Foreign Minister Taro Kono, and UK Foreign Secretary Boris Johnson at the Vancouver Foreign Ministers' Meeting",Rex W. Tillerson,1/16/18
The United States and Kazakhstan - An Economic Partnership for the 21st Century,,1/16/18
Call for Recommendations: 2018 Secretary of State's Award for Corporate Excellence,,1/12/18
Joint Statement From Proliferation Security Initiative (PSI) Partners in Support of United Nations Security Council Resolutions 2375 and 2397 Enforcement,,1/12/18
On the Sentencing of Afgan Mukhtarli,Heather Nauert,1/12/18
"Acting Assistant Secretary for East Asian and Pacific Affairs Susan Thornton Travels to Canada, Mongolia, China, and Indonesia",,1/12/18
"Remarks at the ""Conversation on the Value of Respect"" Event",Rex W. Tillerson,1/12/18
Remarks to the 148th Civil Service Orientation Class,Rex W. Tillerson,1/12/18
U.S. Department of State and the East-West Center Convene Young Pacific Leaders in Hawai'i,,1/12/18
Burmese (Myanmar) National Day,Rex W. Tillerson,1/2/18
The Troika on Cessation of Hostilities Violations in South Sudan ,,1/12/18
On-the-Record-Briefing,I. Steven (Steve) Goldstein,1/11/18
Remarks With Norwegian Foreign Minister Ine Marie Eriksen Soreide Before Their Meeting,Rex W. Tillerson,1/11/18
Secretary Tillerson Travels to Canada,Heather Nauert,1/11/18
Secretary Tillerson's Phone Call With German Foreign Minister Sigmar Gabriel,,1/11/18
Briefing on the Department of State's New Travel Advisories,,1/10/18
Prosecution of Reuters Reporters Wa Lone and Kyaw Soe Oo,Heather Nauert,1/10/18
New Travel Advisories for U.S. Travelers,,1/10/18
"The Detention of Oyub Titiev of Russian NGO ""Memorial""",Heather Nauert,1/10/18
Talks Between South Korea and North Korea on the Winter Olympics,Heather Nauert,1/9/18
"Press Gaggle - January 9, 2018",I. Steven (Steve) Goldstein,1/9/18
Under Secretary Shannon Travels to Madrid,,1/10/18
Interview With Matt Lee and Joshua Lederman of Associated Press,Rex W. Tillerson,1/5/18
Interview With Elise Labott of CNN,Rex W. Tillerson,1/5/18
On the Continuing Protests in Iran,Heather Nauert,1/4/18
"State Department Terrorist Designations of Muhammad al-Ghazali, Abukar Ali Adan, and Wanas al-Faqih",,1/4/18
Designations Under the International Religious Freedom Act of 1998,Heather Nauert,1/4/18
Sports Envoy Dean Karnazes Travels to Peru,,1/3/18
Background Briefing with Senior State Department Officials on Security Assistance to Pakistan,,1/4/18
Burmese (Myanmar) National Day,Rex W. Tillerson,1/2/18
Department of State Announces Publication of 35th Edition of World Military Expenditures and Arms Transfers,,1/2/18
Sudan National Day,Rex W. Tillerson,1/1/18
"Overseas Schools Advisory Council Meeting, Thursday, January 18, 2018 ",,1/2/18
Azerbaijan National Day,Mike Pompeo,5/27/18
Long Overdue Freedom for Joshua Holt in Venezuela,Mike Pompeo,5/26/18
On the Occasion of the Federal Democratic Republic of Ethiopia's National Day,Mike Pompeo,5/27/18
Assad Regime Intentions in the Southwest De-escalation Zone,Heather Nauert,5/25/18
Calling Russia To Account for Malaysia Airlines Flight MH-17,Heather Nauert,5/25/18
Colombian Accession to the Organization for Economic Cooperation and Development,Heather Nauert,5/25/18
Deputy Secretary John J. Sullivan and Administrator Mark Green's Meeting With International Non-Governmental Organizations and United Nations Agencies,,5/25/18
General Elections in Barbados,Heather Nauert,5/25/18
Georgia National Day,Mike Pompeo,5/25/18
Guyana's Independence Day,Mike Pompeo,5/25/18
On the National Dialogue in Nicaragua,,5/25/18
Secretary Pompeo To Release the 2017 International Religious Freedom Report,,5/25/18
"Ambassador Nathan A. Sales, Coordinator for Counterterrorism on the Conference on Mobilizing Law Enforcement Efforts to Defeat ISIS",Nathan A. Sales,2/28/18
Death of Human Rights Attorney Dr. Li Baiguang,Heather Nauert,2/27/18
CANCELED: State Department Welcomes Gold Medal-Winning U.S. Olympic Women's Ice Hockey Team,,2/28/18
Designated ISIS Branches and Individuals,,2/27/18
State Department Terrorist Designations of ISIS Affiliates and Senior Leaders,,2/27/18
Terrorism Designations FAQs,,2/27/18
State-Defense Cooperation on Global Engagement Center Programs and Creation of the Information Access Fund to Counter State-Sponsored Disinformation,,2/26/18
Conference on Mobilizing Law Enforcement Efforts to Defeat ISIS,,2/26/18
Dominican Republic National Day,Rex W. Tillerson,2/27/18
Third Anniversary of the Murder of Boris Nemtsov,Heather Nauert,2/26/18
Acting Assistant Secretary Molly Phee Travel to Geneva,,2/23/18
Concerns for Democracy in Venezuela,Heather Nauert,2/24/18
Estonia National Day,Rex W. Tillerson,2/23/18
Counterterrorism Coordinator Nathan A. Sales To Speak at Defeat-ISIS Coalition Conference on Mobilizing Law Enforcement Efforts,,2/23/18
Opening of U.S. Embassy Jerusalem,Heather Nauert,2/23/18
Protect Civil Society in Ukraine,Heather Nauert,3/30/18
Update to Immigrant Visa Processing for Cuban Nationals,,3/29/18
Poland: United States and Poland Sign Patriot Deal,Heather Nauert,3/28/18
Senior Bureau Official for the Bureau of South and Central Asian Affairs Alice Wells Travels to Pakistan,,3/28/18
"Ambassador Tina Kaidanow, Principal Deputy Assistant Secretary of State for Political-Military Affairs, Travels to Turkey and Iraq",,3/27/18
Sports Envoy Dean Karnazes Travels to Peru,,1/3/18
On the Continuing Protests in Iran,Heather Nauert,1/4/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"State Department Terrorist Designations of Muhammad al-Ghazali, Abukar Ali Adan, and Wanas al-Faqih",,1/4/18
Section 508 Accessibility Statement,,4/28/17
Designations Under the International Religious Freedom Act of 1998,Heather Nauert,1/4/18
Secretary Pompeo's Call With Republic of Korea Foreign Minister Kang,,5/25/18
Secretary Pompeo's Phone Call With Colombian President Juan Manuel Santos,,5/25/18
Eritrea National Day,Mike Pompeo,5/24/18
Full Committee Hearing Review of the FY 2019 State Department Budget Request,Mike Pompeo,5/24/18
H-2A Agricultural Worker Visa Modernization Joint Cabinet Statement,,5/24/18
The Shoot Down of Malaysia Airlines Flight MH17,Heather Nauert,5/24/18
Interview With Setareh Sieg of Voice of America Persian Service,Mike Pompeo,5/24/18
Secretary Pompeo's Meeting With German Foreign Minister Heiko Maas,,5/24/18
Deputy Secretary Sullivan's Meeting With Brazilian Presidential Foreign Policy Advisor Fred Arruda,,5/23/18
Responding to Unjustified Diplomatic Actions in Venezuela,Heather Nauert,5/23/18
Secretary Pompeo's Meeting with Japanese Foreign Minister Taro Kono,,5/23/18
Ambassador Deborah L. Birx Travel to Geneva,,5/22/18
Conviction of Tashi Wangchuk,Heather Nauert,5/22/18
Department of State Announces Additional $7 Million To Combat Ebola in D.R.C.,,5/22/18
"Strengthening American Diplomacy: Reviewing the State Department's Budget, Operations, and Policy Priorities",Mike Pompeo,5/23/18
Remarks With Chinese Foreign Minister and State Councilor Wang Yi at a Press Availability,Mike Pompeo,5/23/18
Deputy Assistant Secretary for the Bureau of Conflict and Stabilization Operations Pete Marocco Travels to Albania and Germany,,5/22/18
Deputy Secretary Sullivan's Meeting With Brazilian Deputy Foreign Minister Marcos Galvao,,5/22/18
Launching Negotiations to Modernize the Columbia River Treaty Regime,,5/22/18
Joint Statement of the Second U.S.-Mongolia Economic Policy Dialogue,,5/22/18
U.S.-Brazil Bilateral Cooperation,,5/22/18
"An Unfair, Unfree Vote in Venezuela ",Mike Pompeo,5/21/18
Assistant Secretary Kevin E. Moley Travel to Geneva,,5/21/18
"Assistant Secretary Mitchell Travel to Wiesbaden, Budapest, and Bratislava",,5/21/18
After the Deal: A New Iran Strategy,Mike Pompeo,5/21/18
Remarks at a Press Availability,Mike Pompeo,5/22/18
Deputy Secretary John J. Sullivan's Meeting With Saudi Foreign Minister al-Jubeir,,5/21/18
Deputy Secretary Sullivan's Meeting With Australian Foreign Minister Julie Bishop,,5/21/18
Deputy Secretary Sullivan's Meeting With Indian Minister of State for External Affairs VK Singh,,5/21/18
Deputy Secretary Sullivan's Meeting With South African Minister of International Relations and Cooperation Lindiwe Sisulu,,5/21/18
Remarks With Irish Deputy Prime Minister and Foreign and Trade Minister Simon Coveney Before Their Meeting,Rex W. Tillerson,2/23/18
UPDATE: Deputy Secretary Sullivan's Travel to Haiti Has Been Postponed,,2/23/18
"Under Secretary Shannon's Travel to Ecuador, Colombia, and Chile",,2/23/18
Brunei Darussalam National Day,Rex W. Tillerson,2/21/18
Saint Lucia,Rex W. Tillerson,2/22/18
State Department Announces Fulbright Top Producing Institutions,,2/21/18
Recent Actions Regarding Latvia's Banking Sector,Heather Nauert,2/20/18
State Department Designation of Ansarul Islam,,2/20/18
State of Emergency in Maldives,Heather Nauert,2/20/18
United States and Libya Sign Cultural Property Protection Agreement,,2/20/18
Fourth Anniversary of Ukraine's Revolution of Dignity,Heather Nauert,2/19/18
The Gambia National Day,Rex W. Tillerson,2/18/18
Interview With Margaret Brennan of CBS 60 Minutes,Rex W. Tillerson,2/18/18
Department Seeks Partner for U.S. Pavilion at Expo 2020 Dubai,,2/16/18
Acting Assistant Secretary Thornton To Travel to Berlin,,2/16/18
Joint Statement on Turkey-U.S. Strategic Partnership,,2/16/18
Kosovo National Day,Rex W. Tillerson,2/16/18
Troika Statement on Phase 2 of the High Level Revitalization Forum for South Sudan,,2/16/18
Death of Morgan Tsvangirai,,2/15/18
Press Availability With Turkish Foreign Minister Mevlut Cavusoglu,Rex W. Tillerson,2/16/18
Lithuania National Day,Rex W. Tillerson,2/15/18
Press Availability With Lebanese Prime Minister Saad Hariri,Rex W. Tillerson,2/15/18
Arrest of Serbian Official in Kosovo,Heather Nauert,3/27/18
Serbia National Day,Rex W. Tillerson,2/15/18
Joint Statement on the 15th Meeting of the India-U.S. Working Group on Counterterrorism,,3/27/18
The 70th Anniversary of the Marshall Plan: A Legacy Remembered,,3/27/18
"Seven-year Anniversary of the House Arrests of Mir Hossein Mousavi, Mehdi Karroubi and Zahra Rahnavard",Heather Nauert,2/15/18
Deputy Secretary Sullivan's Meeting With Indonesian Foreign Minister Retno L.P. Marsudi,,3/26/18
Deputy Secretary Sullivan's Meeting With Malaysian Foreign Minister Anifah Aman,,3/26/18
Holding Russia Accountable for Its Destabilizing Behavior,Heather Nauert,3/26/18
Houthi Missile Attacks in Saudi Arabia,Heather Nauert,3/26/18
"The Bureau of Overseas Buildings Operations Dedicates the New U.S. Embassy in The Hague, Netherlands",,3/26/18
Key Outcomes of U.S. Priorities at the UN Human Rights Council's 37th Session,,3/23/18
Presidential Transition Reaffirms Strength of Democracy in Peru,Heather Nauert,3/23/18
Department of State Inaugurates New Regional Antiterrorism Training Facility in Jordan,,3/22/18
On the Occasion of Greek National Day,John J. Sullivan,3/23/18
Farewell Remarks to the Department,Rex W. Tillerson,3/22/18
Remarks at the 2018 Annual International Women of Courage Awards Ceremony,,3/23/18
State Department Terrorist Designation of Joe Asperman,,3/22/18
"Under Secretary for Political Affairs Thomas Shannon Travels to Tashkent, Uzbekistan",,3/22/18
State Department Terrorist Designation of Katibat al-Imam al-Bukhari,,3/22/18
Deputy Secretary Sullivan's Meeting With Saudi Crown Prince Mohammed bin Salman,,3/23/18
"Suzanne Lawrence, Special Advisor for Children's Issues On the Release of the Fiscal Year 2017 Annual Report on Intercountry Adoption",,3/23/18
Remarks at the International Advisory Council's Closing Luncheon,John J. Sullivan,3/22/18
Attack at Kabul University,Heather Nauert,3/21/18
Arrest of Anti-Balaka Leader Jean-Francis Diandi by MINUSCA,Heather Nauert,3/21/18
2018 International Women of Courage Award Recipients Announced,,3/21/18
"Thirteenth Global Counterterrorism Forum (GCTF) Coordinating Committee Meeting, Tokyo, Japan",,3/21/18
Briefing on the Joint Comprehensive Plan of Action Joint Commission and E3 Meetings in Vienna and Berlin,Brian Hook,3/21/18
World Water Day 2018 Forum: Increasing U.S. Private Sector Participation To Build a More Water-Secure World,,3/22/18
On the Occasion of Tunisia's National Day,John J. Sullivan,3/20/18
On the Occasion of the Republic of Namibia's National Day,John J. Sullivan,3/20/18
Deputy Secretary Sullivan Delivers a Keynote Address at the United States Institute of Peace,,3/20/18
U.S. Adds South Sudanese Oil Entities to Department of Commerce Entity List,Heather Nauert,3/21/18
Section 508 Accessibility Statement,,4/28/17
Referendum in Burundi,Heather Nauert,5/21/18
Remarks at the 2018 Plenary Session of the U.S.-Georgia Strategic Partnership,Mike Pompeo,5/21/18
Secretary Pompeo's Meeting With Polish Foreign Minister Czaputowicz,,5/21/18
Secretary Pompeo's Meeting With Greek Foreign Minister Nikos Kotzias,,5/21/18
Deputy Secretary Sullivan's Meeting With Argentine Foreign Minister Faurie,,5/20/18
The State Department Hosts Mongolian Foreign Minister Tsogtbaatar Damdin,,5/21/18
Deputy Secretary Sullivan's Meeting With Mexican Foreign Secretary Videgaray,,5/20/18
Deputy Secretary Sullivan's Meeting With Republic of Korea Vice Foreign Minister Cho,,5/20/18
On the Passing of Bernard Lewis,Mike Pompeo,5/20/18
"Ambassador Tina Kaidanow, Principal Deputy Assistant Secretary of State for Political-Military Affairs, Travels to Germany, Japan, India, and Singapore",,5/18/18
On the Death of Pakistani Exchange Student Sabika Sheikh,Mike Pompeo,5/19/18
Cameroon National Day,Mike Pompeo,5/18/18
Joint U.S.-EC Workshop Strengthens Cooperation To Counter Nuclear Smuggling,,5/18/18
Deputy Secretary Sullivan's Meeting with Indonesian Foreign Minister Retno L.P. Marsudi,,5/20/18
Remarks With Dutch Foreign Minister Stephanus Blok Before Their Meeting,Mike Pompeo,5/18/18
Secretary Pompeo To Deliver Remarks on U.S. Policy on Iran at The Heritage Foundation,,5/18/18
Briefing on Iran,Brian Hook,5/18/18
